country,hour,tech,gen_mw
HU,2022-01-09T04:00:00Z,Solar,0
HU,2022-01-09T04:00:00Z,Wind onshore,72.265
HU,2022-01-09T05:00:00Z,Solar,0
HU,2022-01-09T05:00:00Z,Wind onshore,82.27000000000001
HU,2022-01-09T06:00:00Z,Solar,8.674999999999999
HU,2022-01-09T06:00:00Z,Wind onshore,80.35
HU,2022-01-09T07:00:00Z,Solar,128.555
HU,2022-01-09T07:00:00Z,Wind onshore,81.905
HU,2022-01-09T08:00:00Z,Solar,312.8275
HU,2022-01-09T08:00:00Z,Wind onshore,68.7725
HU,2022-01-09T09:00:00Z,Solar,434.6025
HU,2022-01-09T09:00:00Z,Wind onshore,62.55
HU,2022-01-09T10:00:00Z,Solar,455.9725
HU,2022-01-09T10:00:00Z,Wind onshore,48.0225
HU,2022-01-09T11:00:00Z,Solar,396.72
HU,2022-01-09T11:00:00Z,Wind onshore,41.9075
HU,2022-01-09T12:00:00Z,Solar,313.51
HU,2022-01-09T12:00:00Z,Wind onshore,40.1375
HU,2022-01-09T13:00:00Z,Solar,179.5025
HU,2022-01-09T13:00:00Z,Wind onshore,30.04
HU,2022-01-09T14:00:00Z,Solar,52.805
HU,2022-01-09T14:00:00Z,Wind onshore,15.5575
HU,2022-01-09T15:00:00Z,Solar,0.95
HU,2022-01-09T15:00:00Z,Wind onshore,23.99
HU,2022-01-09T16:00:00Z,Solar,0.0025
HU,2022-01-09T16:00:00Z,Wind onshore,26.935
HU,2022-01-09T17:00:00Z,Solar,0
HU,2022-01-09T17:00:00Z,Wind onshore,25.1025
HU,2022-01-09T18:00:00Z,Solar,0
HU,2022-01-09T18:00:00Z,Wind onshore,17.75
HU,2022-01-09T19:00:00Z,Solar,0
HU,2022-01-09T19:00:00Z,Wind onshore,7.855
HU,2022-01-09T20:00:00Z,Solar,0
HU,2022-01-09T20:00:00Z,Wind onshore,2.4675
HU,2022-01-09T21:00:00Z,Solar,0
HU,2022-01-09T21:00:00Z,Wind onshore,0.435
HU,2022-01-09T22:00:00Z,Solar,0
HU,2022-01-09T22:00:00Z,Wind onshore,0.065
HU,2022-01-09T23:00:00Z,Solar,0
HU,2022-01-09T23:00:00Z,Wind onshore,0.0125
HU,2022-01-10T00:00:00Z,Solar,0
HU,2022-01-10T00:00:00Z,Wind onshore,0
HU,2022-01-10T01:00:00Z,Solar,0
HU,2022-01-10T01:00:00Z,Wind onshore,0
HU,2022-01-10T02:00:00Z,Solar,0
HU,2022-01-10T02:00:00Z,Wind onshore,0
HU,2022-01-10T03:00:00Z,Solar,0
HU,2022-01-10T03:00:00Z,Wind onshore,0.13
HU,2022-01-10T04:00:00Z,Solar,0
HU,2022-01-10T04:00:00Z,Wind onshore,1.475
HU,2022-01-10T05:00:00Z,Solar,0
HU,2022-01-10T05:00:00Z,Wind onshore,6.95
HU,2022-01-10T06:00:00Z,Solar,4.82
HU,2022-01-10T06:00:00Z,Wind onshore,15.525
HU,2022-01-10T07:00:00Z,Solar,78.4
HU,2022-01-10T07:00:00Z,Wind onshore,19.49
HU,2022-01-10T08:00:00Z,Solar,250.0025
HU,2022-01-10T08:00:00Z,Wind onshore,22.365
HU,2022-01-10T09:00:00Z,Solar,477.65
HU,2022-01-10T09:00:00Z,Wind onshore,34.0825
HU,2022-01-10T10:00:00Z,Solar,583.37
HU,2022-01-10T10:00:00Z,Wind onshore,38.3875
HU,2022-01-10T11:00:00Z,Solar,601.9725
HU,2022-01-10T11:00:00Z,Wind onshore,39.150000000000006
HU,2022-01-10T12:00:00Z,Solar,509.3175
HU,2022-01-10T12:00:00Z,Wind onshore,56.5025
HU,2022-01-10T13:00:00Z,Solar,268.275
HU,2022-01-10T13:00:00Z,Wind onshore,98.7825
HU,2022-01-10T14:00:00Z,Solar,70.235
HU,2022-01-10T14:00:00Z,Wind onshore,109.8175
HU,2022-01-10T15:00:00Z,Solar,1.465
HU,2022-01-10T15:00:00Z,Wind onshore,146.7125
HU,2022-01-10T16:00:00Z,Solar,0.0025
HU,2022-01-10T16:00:00Z,Wind onshore,182.9875
HU,2022-01-10T17:00:00Z,Solar,0
HU,2022-01-10T17:00:00Z,Wind onshore,182.565
HU,2022-01-10T18:00:00Z,Solar,0
HU,2022-01-10T18:00:00Z,Wind onshore,194.695
HU,2022-01-10T19:00:00Z,Solar,0
HU,2022-01-10T19:00:00Z,Wind onshore,180.605
HU,2022-01-10T20:00:00Z,Solar,0
HU,2022-01-10T20:00:00Z,Wind onshore,174.5525
HU,2022-01-10T21:00:00Z,Solar,0
HU,2022-01-10T21:00:00Z,Wind onshore,159.97
HU,2022-01-10T22:00:00Z,Solar,0
HU,2022-01-10T22:00:00Z,Wind onshore,190.89
HU,2022-01-10T23:00:00Z,Solar,0
HU,2022-01-10T23:00:00Z,Wind onshore,196.8875
HU,2022-01-11T00:00:00Z,Solar,0
HU,2022-01-11T00:00:00Z,Wind onshore,179.665
HU,2022-01-11T01:00:00Z,Solar,0
HU,2022-01-11T01:00:00Z,Wind onshore,195.9775
HU,2022-01-11T02:00:00Z,Solar,0
HU,2022-01-11T02:00:00Z,Wind onshore,193.005
HU,2022-01-11T03:00:00Z,Solar,0
HU,2022-01-11T03:00:00Z,Wind onshore,198.565
HU,2022-01-11T04:00:00Z,Solar,0
HU,2022-01-11T04:00:00Z,Wind onshore,216.7775
HU,2022-01-11T05:00:00Z,Solar,0
HU,2022-01-11T05:00:00Z,Wind onshore,207.3575
HU,2022-01-11T06:00:00Z,Solar,4.645
HU,2022-01-11T06:00:00Z,Wind onshore,206.8
HU,2022-01-11T07:00:00Z,Solar,119.77
HU,2022-01-11T07:00:00Z,Wind onshore,199.9775
HU,2022-01-11T08:00:00Z,Solar,375.8275
HU,2022-01-11T08:00:00Z,Wind onshore,187.3625
HU,2022-01-11T09:00:00Z,Solar,605.39
HU,2022-01-11T09:00:00Z,Wind onshore,171.7875
HU,2022-01-11T10:00:00Z,Solar,711.6825
HU,2022-01-11T10:00:00Z,Wind onshore,169.915
HU,2022-01-11T11:00:00Z,Solar,722.505
HU,2022-01-11T11:00:00Z,Wind onshore,190.075
HU,2022-01-11T12:00:00Z,Solar,567.0275
HU,2022-01-11T12:00:00Z,Wind onshore,202.89
HU,2022-01-11T13:00:00Z,Solar,319.255
HU,2022-01-11T13:00:00Z,Wind onshore,196.0125
