date,hour,actual,projected
2025-05-06,19,5.668328,5.026
2025-05-06,20,6.167114,5.84
2025-05-06,21,6.95803,4.061
2025-05-06,22,6.929803,4.706
2025-05-06,23,7.282382,6.65
2025-05-06,24,7.526446,5.285
2025-05-07,1,8.068971,6.356
2025-05-07,2,5.940863,4.362
2025-05-07,3,4.191625,3.997
2025-05-07,4,1.209317,7.254
2025-05-07,5,0.507647,4.237
2025-05-07,6,0.700609,4.126
2025-05-07,7,0.658995,2.567
2025-05-07,8,0.710319,1.869
2025-05-07,9,0.636659,2.305
2025-05-07,10,4.126752,1.582
2025-05-07,11,1.909616,1.667
2025-05-07,12,0.081289,1.814
2025-05-07,13,1.008113,2.418
2025-05-07,14,0.256494,2.141
2025-05-07,15,-0.211679,4.205
2025-05-07,16,-0.282601,9.451
2025-05-07,17,1.637487,17.19
2025-05-07,18,3.941672,17.509
2025-05-07,19,1.442385,17.656
2025-05-07,20,0.461808,18.704
2025-05-07,21,3.044083,18.902
2025-05-07,22,13.767653,19.077
2025-05-07,23,18.070555,16.676
2025-05-07,24,16.162212,15.264
2025-05-08,1,17.897278,18.232
2025-05-08,2,17.332351,18.31
2025-05-08,3,14.332625,17.252
2025-05-08,4,11.72179,15.604
2025-05-08,5,13.555239,15.421
2025-05-08,6,15.287672,14.308
2025-05-08,7,13.08841,15.144
2025-05-08,8,9.309127,9.458
2025-05-08,9,5.839612,10.111
2025-05-08,10,2.206935,9.008
2025-05-08,11,2.537843,6.327
2025-05-08,12,2.406488,5.432
2025-05-08,13,2.345437,5.271
2025-05-08,14,1.99432,4.638
2025-05-08,15,2.095038,3.781
2025-05-08,16,3.076482,2.747
2025-05-08,17,4.214002,3.844
2025-05-08,18,3.991433,3.962
2025-05-08,19,2.849494,4.144
2025-05-08,20,1.182602,3.434
2025-05-08,21,0.64972,4.516
2025-05-08,22,0.021924,3.672
2025-05-08,23,-0.134133,2.442
2025-05-08,24,-0.256617,2.935
2025-05-09,1,1.463392,3.497
2025-05-09,2,7.427511,3.258
2025-05-09,3,5.487611,3.894
2025-05-09,4,3.374582,5.42
2025-05-09,5,4.444377,4.831
2025-05-09,6,5.150121,5.132
2025-05-09,7,4.880066,4.115
2025-05-09,8,4.934676,4.206
2025-05-09,9,5.243117,5.666
2025-05-09,10,8.496174,6.404
2025-05-09,11,11.692805,12.318
2025-05-09,12,13.028287,14.132
2025-05-09,13,11.508734,14.706
2025-05-09,14,13.765124,16.737
2025-05-09,15,19.361415,17.627
2025-05-09,16,15.796399,18.653
2025-05-09,17,18.450277,18.836
2025-05-09,18,19.185364,18.989
2025-05-09,19,16.522833,18.59
2025-05-09,20,11.431497,18.012
2025-05-09,21,13.278391,17.736
2025-05-09,22,12.541982,15.995
2025-05-09,23,14.135148,16.147
2025-05-09,24,12.795636,16.834
2025-05-10,1,10.191432,16.563
2025-05-10,2,15.857793,9.754
2025-05-10,3,22.479565,8.362
2025-05-10,4,28.009738,14.495
2025-05-10,5,23.755174,17.992
2025-05-10,6,29.62984,22.641
2025-05-10,7,29.894143,26.997
2025-05-10,8,24.6089,23.468
2025-05-10,9,17.413269,18.726
2025-05-10,10,23.545612,17.819
2025-05-10,11,25.971452,20.359
2025-05-10,12,24.74798,24.917
2025-05-10,13,26.940119,23.273
2025-05-10,14,25.230775,24.144
2025-05-10,15,23.369447,25.242
2025-05-10,16,22.925036,28.264
2025-05-10,17,23.011637,27.056
2025-05-10,18,25.573228,21.735
2025-05-10,19,21.371922,16.52
2025-05-10,20,14.376493,10.214
2025-05-10,21,11.085919,4.984
2025-05-10,22,11.59288,15.231
2025-05-10,23,11.347923,16.091
2025-05-10,24,10.74514,12.994
2025-05-11,1,14.028554,10.889
2025-05-11,2,16.539904,11.198
2025-05-11,3,15.014945,9.529
2025-05-11,4,10.984742,8.872
2025-05-11,5,5.003282,3.914
2025-05-11,6,1.464129,3.911
2025-05-11,7,2.358609,3.204
2025-05-11,8,1.359044,1.308
2025-05-11,9,1.542678,0.99
2025-05-11,10,0.482934,1.144
2025-05-11,11,0.144837,3.13
2025-05-11,12,1.174934,4.631
2025-05-11,13,0.690538,3.953
2025-05-11,14,6.578378,8.535
2025-05-11,15,4.239481,12.387
2025-05-11,16,2.970726,9.489
2025-05-11,17,5.148916,8.069
2025-05-11,18,1.631601,3.86
2025-05-11,19,7.372096,4.974
2025-05-11,20,1.131118,7.099
2025-05-11,21,1.626492,8.093
2025-05-11,22,0.957351,6.292
2025-05-11,23,9.642741,10.776
2025-05-11,24,17.29969,11.354
2025-05-12,1,12.919837,15.29
2025-05-12,2,9.034524,15.795
2025-05-12,3,3.565109,13.794
2025-05-12,4,1.516562,14.146
2025-05-12,5,1.233067,8.172
2025-05-12,6,2.429026,6.637
2025-05-12,7,2.070497,8.221
2025-05-12,8,1.09972,5.566
2025-05-12,9,3.314003,9.693
2025-05-12,10,2.054044,11.649
2025-05-12,11,2.318899,13.128
2025-05-12,12,6.20891,13.345
2025-05-12,13,6.895576,13.993
2025-05-12,14,9.540965,15.902
2025-05-12,15,6.858574,13.175
2025-05-12,16,13.715392,9.46
2025-05-12,17,5.655726,12.504
2025-05-12,18,10.553481,15.235
2025-05-12,19,6.755599,11.455
2025-05-12,20,1.474465,11.433
2025-05-12,21,1.073001,9.32
2025-05-12,22,3.251844,10.883
2025-05-12,23,3.324117,7.579
2025-05-12,24,3.032868,2.313
2025-05-13,1,4.322135,6.077
2025-05-13,2,5.266154,5.57
2025-05-13,3,7.769139,14.073
2025-05-13,4,7.00752,10.174
2025-05-13,5,10.11834,7.112
2025-05-13,6,12.113468,11.426
2025-05-13,7,10.132921,8.183
2025-05-13,8,5.40235,7.06
2025-05-13,9,1.541701,5.146
2025-05-13,10,2.035616,7.116
2025-05-13,11,5.369084,7.833
2025-05-13,12,5.855101,8.945
2025-05-13,13,7.061489,10.838
2025-05-13,14,7.664534,12.613
2025-05-13,15,6.774218,14.098
2025-05-13,16,10.245407,12.033
2025-05-13,17,6.974717,7.995
2025-05-13,18,2.05571,3.784
2025-05-13,19,1.747772,8.235
2025-05-13,20,2.926733,5.986
2025-05-13,21,5.00857,4.909
2025-05-13,22,4.002904,4.65
2025-05-13,23,5.257202,5.297
2025-05-13,24,6.431029,6.947
2025-05-14,1,6.194095,12.902
2025-05-14,2,7.502312,12.957
2025-05-14,3,7.088423,13.097
2025-05-14,4,8.75683,14.38
2025-05-14,5,11.788545,17.658
2025-05-14,6,21.430065,21.034
2025-05-14,7,20.152633,20.84
2025-05-14,8,13.754662,19.884
2025-05-14,9,11.503994,12.784
2025-05-14,10,12.106139,11.908
2025-05-14,11,17.322284,16.698
2025-05-14,12,18.07983,16.606
2025-05-14,13,18.528106,14.802
2025-05-14,14,16.655719,16.694
2025-05-14,15,18.735494,17.018
2025-05-14,16,24.140289,16.847
2025-05-14,17,19.843354,21.228
2025-05-14,18,12.960909,15.742
2025-05-14,19,22.445844,16.869
2025-05-14,20,28.486364,27.494
2025-05-14,21,26.152035,24.25
2025-05-14,22,37.935,28.341
2025-05-14,23,43.366005,29.787
2025-05-14,24,42.126042,31.422
2025-05-15,1,42.702906,30.668
2025-05-15,2,42.785293,35.333
2025-05-15,3,37.38438,32.856
2025-05-15,4,23.924211,31.048
2025-05-15,5,17.333862,30.255
2025-05-15,6,34.209272,30.45
2025-05-15,7,22.796615,29.954
2025-05-15,8,18.300677,30.02
2025-05-15,9,29.391091,28.187
2025-05-15,10,21.117359,26.018
2025-05-15,11,19.742515,26.715
2025-05-15,12,27.460205,26.524
2025-05-15,13,27.439585,25.829
2025-05-15,14,22.494998,24.029
2025-05-15,15,21.765618,21.829
2025-05-15,16,20.236975,20.579
2025-05-15,17,18.687376,18.684
2025-05-15,18,17.853575,17.257
2025-05-15,19,18.18793,16.779
2025-05-15,20,18.767193,16.679
2025-05-15,21,18.58065,16.579
2025-05-15,22,18.836055,16.929
2025-05-15,23,19.28011,17.529
2025-05-15,24,19.368591,18.829
2025-05-16,1,20.55156,18.471
2025-05-16,2,20.698724,19.437
2025-05-16,3,19.238991,21.411
2025-05-16,4,19.246248,23.429
2025-05-16,5,20.259857,22.607
2025-05-16,6,23.277972,22.546
2025-05-16,7,22.182073,21.854
2025-05-16,8,22.801553,21.361
2025-05-16,9,22.479503,21.279
2025-05-16,10,16.247621,21.481
2025-05-16,11,15.123246,20.765
2025-05-16,12,15.949213,20.804
2025-05-16,13,20.783535,21.527
2025-05-16,14,15.326803,21.707
2025-05-16,15,11.164659,20.915
2025-05-16,16,9.694533,20.066
2025-05-16,17,13.961886,19.579
2025-05-16,18,14.260489,18.734
2025-05-16,19,8.505592,16.531
2025-05-16,20,6.743009,14.608
2025-05-16,21,3.615166,11.38
2025-05-16,22,5.098619,12.046
2025-05-16,23,5.963796,11.023
2025-05-16,24,9.766781,8.824
2025-05-17,1,5.667469,9.374
2025-05-17,2,3.522204,10.227
2025-05-17,3,4.592913,6.409
2025-05-17,4,6.81189,4.547
2025-05-17,5,3.917085,4.12
2025-05-17,6,5.797246,6.055
2025-05-17,7,4.005014,8.487
2025-05-17,8,4.944532,9.698
2025-05-17,9,4.383611,12.267
2025-05-17,10,3.654006,13.722
2025-05-17,11,5.560552,12.164
2025-05-17,12,3.775332,9.227
2025-05-17,13,5.123617,12.666
2025-05-17,14,5.165943,15.848
2025-05-17,15,4.592131,17.868
2025-05-17,16,8.493215,18.116
2025-05-17,17,9.486659,18.834
2025-05-17,18,6.963834,21.042
2025-05-17,19,8.641382,9.298
2025-05-17,20,16.912697,8.709
2025-05-17,21,9.97542,11.103
2025-05-17,22,6.250168,13.088
2025-05-17,23,17.828233,14.708
2025-05-17,24,19.237956,16.847
2025-05-18,1,17.989419,15.071
2025-05-18,2,15.153698,15.876
2025-05-18,3,14.012047,16.185
2025-05-18,4,13.255944,15.865
2025-05-18,5,15.624811,14.711
2025-05-18,6,20.528379,13.671
2025-05-18,7,11.671641,14.674
2025-05-18,8,6.769053,11.986
2025-05-18,9,4.030953,7.685
2025-05-18,10,3.965763,7.83
2025-05-18,11,4.153814,11.459
2025-05-18,12,5.800056,9.037
2025-05-18,13,7.31272,9.673
2025-05-18,14,8.24633,9.708
2025-05-18,15,10.810388,11.441
2025-05-18,16,14.270145,11.98
2025-05-18,17,22.130747,14.397
2025-05-18,18,21.104796,19.521
2025-05-18,19,21.992191,19.522
2025-05-18,20,20.858269,21.697
2025-05-18,21,21.44996,21.378
2025-05-18,22,22.920445,19.465
2025-05-18,23,20.557186,18.262
2025-05-18,24,17.036257,21.112
2025-05-19,1,7.528351,15.434
2025-05-19,2,7.953566,16.251
2025-05-19,3,4.761235,14.918
2025-05-19,4,9.183851,14.001
2025-05-19,5,10.222997,12.558
2025-05-19,6,7.662995,10.664
2025-05-19,7,7.70867,10.504
2025-05-19,8,4.291883,9.942
2025-05-19,9,3.017905,7.56
2025-05-19,10,2.029557,9.11
2025-05-19,11,3.970344,11.112
2025-05-19,12,5.400201,14.886
2025-05-19,13,12.05105,18.049
2025-05-19,14,14.87755,19.617
2025-05-19,15,20.044296,19.935
2025-05-19,16,21.681028,21.06
2025-05-19,17,16.139695,22.307
2025-05-19,18,18.397609,22.844
2025-05-19,19,7.585175,22.865
2025-05-19,20,5.409241,22.556
2025-05-19,21,11.468087,16.649
2025-05-19,22,15.27817,19.493
2025-05-19,23,8.562431,19.874
2025-05-19,24,9.354682,22.433
2025-05-20,1,21.148291,19.928
2025-05-20,2,32.623766,23.785
2025-05-20,3,31.654478,22.818
2025-05-20,4,31.693624,23.405
2025-05-20,5,35.368028,25.069
2025-05-20,6,30.490177,25.796
2025-05-20,7,22.770949,25.677
2025-05-20,8,24.01937,24.949
2025-05-20,9,24.71812,24.784
2025-05-20,10,23.601945,25.287
2025-05-20,11,20.053703,26.245
2025-05-20,12,23.349922,27.02
2025-05-20,13,24.240365,26.832
2025-05-20,14,31.85201,26.883
2025-05-20,15,34.436599,26.332
2025-05-20,16,20.822373,25.746
2025-05-20,17,21.054909,29.402
2025-05-20,18,33.661414,29.337
2025-05-20,19,31.093736,28.218
2025-05-20,20,36.865907,28.18
2025-05-20,21,36.492916,29.53
2025-05-20,22,37.528464,32.49
2025-05-20,23,41.138163,35.101
2025-05-20,24,42.909367,37.263
2025-05-21,1,44.558442,36.613
2025-05-21,2,43.256802,35.735
2025-05-21,3,46.39341,33.402
2025-05-21,4,44.894311,33.565
2025-05-21,5,35.093826,32.212
2025-05-21,6,35.126677,32.837
2025-05-21,7,32.857941,31.181
2025-05-21,8,32.853406,28.861
2025-05-21,9,22.061482,20.972
2025-05-21,10,6.228659,17.578
2025-05-21,11,6.051676,13.947
2025-05-21,12,1.844789,12.47
2025-05-21,13,9.694166,12.068
2025-05-21,14,9.310255,10.348
2025-05-21,15,8.93765,9.918
2025-05-21,16,9.517519,15.999
2025-05-21,17,15.726397,12.615
2025-05-21,18,20.931359,15.516
2025-05-21,19,20.990856,22.446
2025-05-21,20,25.894157,21.383
2025-05-21,21,28.058299,26.05
2025-05-21,22,30.013998,27.779
2025-05-21,23,32.974127,28.448
2025-05-21,24,33.184208,29.069
2025-05-22,1,34.978276,27.386
2025-05-22,2,36.41677,23.857
2025-05-22,3,28.617042,22.091
2025-05-22,4,28.186399,23.516
2025-05-22,5,26.811106,18.458
2025-05-22,6,20.426204,22.446
2025-05-22,7,10.39922,19.559
2025-05-22,8,8.349101,17.104
2025-05-22,9,10.084441,18.61
2025-05-22,10,13.859675,19.264
2025-05-22,11,16.153667,20.882
2025-05-22,12,15.964725,22.583
2025-05-22,13,14.973207,23.587
2025-05-22,14,4.742422,25.068
2025-05-22,15,12.48084,23.949
2025-05-22,16,22.34389,21.276
2025-05-22,17,24.030795,20.498
2025-05-22,18,20.869085,19.456
2025-05-22,19,20.614594,20.168
2025-05-22,20,14.389303,20.707
2025-05-22,21,15.757557,21.468
2025-05-22,22,16.171544,24.202
2025-05-22,23,15.848357,28.125
2025-05-22,24,17.928718,26.478
2025-05-23,1,15.961326,28.274
2025-05-23,2,16.135944,25.616
2025-05-23,3,13.775055,24.868
2025-05-23,4,7.821083,19.464
2025-05-23,5,5.245896,16.767
2025-05-23,6,9.326471,17.039
2025-05-23,7,18.046132,19.068
2025-05-23,8,9.476313,16.084
2025-05-23,9,14.44558,10.358
2025-05-23,10,14.867896,8.062
2025-05-23,11,5.408463,12.929
2025-05-23,12,4.241838,13.622
2025-05-23,13,6.515816,13.901
2025-05-23,14,6.779414,11.032
2025-05-23,15,6.346413,8.791
2025-05-23,16,6.437488,8.003
2025-05-23,17,6.455599,7.659
2025-05-23,18,5.58388,9.524
2025-05-23,19,5.465174,7.221
2025-05-23,20,4.19073,6.797
2025-05-23,21,3.439934,6.979
2025-05-23,22,5.047868,7.642
2025-05-23,23,2.833799,6.509
2025-05-23,24,3.15324,6.704
2025-05-24,1,3.472927,5.383
2025-05-24,2,5.617407,7.556
2025-05-24,3,2.847369,6.628
2025-05-24,4,5.088209,5.937
